"sample","n_AA_coding","n_with_coding_snv"
"116_RE_T",1,19
"20_40DC",1,16
"30_130RE",2,19
"32_29TR",1,17
"58_TR",1,16
"A10__180_DC",1,23
"A15__180_TR",2,33
"A2__148_CE",1,12
"B15_148_RE",2,19
"B17_277_DC",1,13
"B18_115_TC",2,17
"B19_277_TC",1,17
"B20_273_CE",1,15
"B21_153_CE",1,29
"B22_93_TR",2,19
"B23_153_RE",3,22
"B26_115_DC",4,11
"B27_116_AS",1,27
"B2_116_RE",2,18
"B33_153_AS",1,22
"B3_084_DC",1,20
"B41_277_AC",1,11
"B42_277_RTM",3,18
"B43_273_AS",1,18
"B46_273_DE",1,17
"B47_273_RE",1,28
"B4_076_SI",1,18
"B5_031_RE",1,21
"B8_103_SI",1,17
"B9_115_RE",3,19
"C22_19_SI",1,29
"C6_153_RE",1,33
"D14_074_RE",1,9
"D16_040_SI",2,28
"D18_153_TR",2,17
"D20_153_SI",2,16
"D24_093_RE",3,18
"D2_09_TR",1,22
"D31_031_DE",1,18
"D6_84_RE",1,7
"D7_40_RE",1,9
"HLS_1C_30_G5",2,37
"HLS_1C_30_H5",2,17
"HLS_2C_30_E6",1,21
"Laurel-12",2,14
"Laurel-8",2,21
"PD28690cb_2_g1",2,19
"PD34199a_c22",1,11
"PD34199a_c3",1,12
"PD36719a_lo005",1,8
"PD36719a_lo008",2,19
"PD36719a_lo018",1,18
"PD36719a_lo022",2,25
"PD36719a_lo034",2,34
"PD36719a_lo048",1,29
"PD36719a_lo066",2,29
"PD36719a_lo072",2,23
"PD36813aa",1,22
"PD36813aa7",1,22
"PD36813ac2",1,31
"PD36813ac4",2,25
"PD36813ac7",1,24
"PD36813ad2",2,20
"PD36813ad8",1,21
"PD36813c2",1,24
"PD36813d3",1,20
"PD36813g2",1,21
"PD36813i6",1,15
"PD36813l7",1,20
"PD36813o2",1,12
"PD36813p",1,16
"PD36813r12",2,17
"PD36813s12",1,26
"PD36813t20",1,17
"PD36813v4",1,22
"PD36813x16",1,11
"PD36813y6",1,15
"PD36813z8",1,12
"PD36814c3",1,23
"PD36814d7",1,14
"PD36814e5",2,18
"PD36814e6",1,46
"PD36814g4",2,24
"PD36814k6",1,15
"PD36814k8",1,10
"PD36814l7",1,23
"PD36814m8",1,36
"PD37226b5",3,13
"PD37226b6",4,23
"PD37226c5",1,9
"PD37226c6",3,13
"PD37226c7",4,13
"PD37226c8",4,15
"PD37226d4",2,14
"PD37226d6",1,6
"PD37226e4",2,17
"PD37226f7",2,24
"PD37226g6",2,24
"PD37226g7",2,22
"PD37226h7",1,18
"PD37226i5",1,8
"PD37226j4",1,26
"PD37226j7",2,35
"PD37226j8",2,33
"PD37226l5",1,18
"PD37226m5",1,14
"PD37226o4",5,66
"PD37226o5",5,66
"PD37226p7",5,54
"PD37265b",2,34
"PD37265b7",1,17
"PD37265c5",1,19
"PD37265d8",1,15
"PD37265h6",1,18
"PD37265h8",1,13
"PD37265k",1,12
"PD37265l2",1,19
"PD37265m3",3,34
"PD37265m4",2,35
"PD37266b_lo0017",1,11
"PD37266c_lo0010",1,6
"PD37266d_lo0014",1,12
"PD37449c_lo0001",3,15
"PD37449c_lo0009",3,10
"PD37449c_lo0014",2,18
"PD37449c_lo0017",4,15
"PD37449d_lo0001",1,3
"PD37449d_lo0002",3,11
"PD37449d_lo0003",2,9
"PD37449d_lo0006",3,10
"PD37449d_lo0011",2,8
"PD37449e_lo0008",7,16
"PD37449e_lo0010",4,13
"PD37449f_lo0011",1,3
"PD37449f_lo0022",1,10
"PD37457b4",1,7
"PD37457c4",1,19
"PD37457e6",1,22
"PD37457f7",1,13
"PD37457g5",1,14
"PD37509b8",2,8
"PD37510b8",3,8
"PD37512a11",5,23
"PD37512a4",2,19
"PD37512b7",1,25
"PD37513a13",1,12
"PD37513a2",2,17
"PD37513a3",4,17
"PD37513b7",2,21
"PD37514b8",2,14
"PD37590b_lo0010",1,6
"PD37590b_lo0018",1,12
"PD37590b_lo0052",1,13
"PD37590b_lo0075",1,15
"PD37590c_lo0019",1,10
